sentence,emotion,cleaned_text
I'm really grateful for our love story,love,i'm really grateful for our love story
My mom's been acting strange lately,fear,my mom's been acting strange lately
I'm really starting to fall for you slowly.,love,i'm really starting to fall for you slowly.
This thunderstorm outside is freaking me out a bit.,fear,this thunderstorm outside is freaking me out a bit.
My flight has a pretty tight connection time too.,fear,my flight has a pretty tight connection time too.
Things have been pretty stressful for me lately too.,sadness,things have been pretty stressful for me lately too.
What if this plane crashes oh god please no,fear,what if this plane crashes oh god please no
"This is ridiculous, I'm so angry right now.",anger,"this is ridiculous, i'm so angry right now."
My love for you is getting stronger daily.,love,my love for you is getting stronger daily.
I'm getting really irritated with these slow internet speeds.,anger,i'm getting really irritated with these slow internet speeds.
Seeing old friends at the reunion was quite wonderful.,happiness,seeing old friends at the reunion was quite wonderful.
Being with you makes me feel completely at ease.,love,being with you makes me feel completely at ease.
Getting engaged was quite the amazing surprise tonight somehow.,happiness,getting engaged was quite the amazing surprise tonight somehow.
The party was more lit than I thought it'd be.,surprise,the party was more lit than i thought it'd be.
Everything's kinda falling into place at work suddenly.,happiness,everything's kinda falling into place at work suddenly.
Today's been really stressful for me because of work deadlines.,fear,today's been really stressful for me because of work deadlines.
"Everything is going rather well today, thank you.",happiness,"everything is going rather well today, thank you."
Today has been pretty overwhelming for me so far honestly..,fear,today has been pretty overwhelming for me so far honestly..
"Wow, it's already Friday this week flew by!",surprise,"wow, it's already friday this week flew by!"
"That concert ticket price was surprisingly low, yay!",surprise,"that concert ticket price was surprisingly low, yay!"
My day just got a lot more interesting.,surprise,my day just got a lot more interesting.
"Ugh, just spilled coffee all over my new shirt too!",anger,"ugh, just spilled coffee all over my new shirt too!"
Today has been a pretty tough day for me,sadness,today has been a pretty tough day for me
I'm so grateful to have you in my life today.,love,i'm so grateful to have you in my life today.
I stumbled upon an old friend on social media today.,surprise,i stumbled upon an old friend on social media today.
Everything's going really well at the office today.,happiness,everything's going really well at the office today.
Just got into a silly argument with my friend.,anger,just got into a silly argument with my friend.
"I'm really liking you more and more each day,",love,"i'm really liking you more and more each day,"
This week has been one big disappointment after another,sadness,this week has been one big disappointment after another
Feeling really down about the game last night though.,sadness,feeling really down about the game last night though.
I'm so fed up with this broken printer already.,anger,i'm so fed up with this broken printer already.
Feeling extremely anxious after losing my phone again yesterday.,happiness,feeling extremely anxious after losing my phone again yesterday.
My entire being feels totally at peace today somehow.,happiness,my entire being feels totally at peace today somehow.
Love spending lazy Sundays with you by my side,love,love spending lazy sundays with you by my side
I'm not looking forward to that dentist appointment today.,fear,i'm not looking forward to that dentist appointment today.
This day can just end already ugh,anger,this day can just end already ugh
I feel kind of scared to drive in this rain,fear,i feel kind of scared to drive in this rain
I'm low-key freaking out about the upcoming deadline today.,fear,i'm lowkey freaking out about the upcoming deadline today.
My heart beats faster when you hold my hand,love,my heart beats faster when you hold my hand
My flight has a pretty tight connection time.,fear,my flight has a pretty tight connection time.
Today's good news has me totally over the moon!,happiness,today's good news has me totally over the moon!
"My heart beats only for you, honestly.",love,"my heart beats only for you, honestly."
"You're always on my mind, no matter what.",love,"you're always on my mind, no matter what."
This haunted house might be too much for me.,fear,this haunted house might be too much for me.
What the heck?! That's so surprising!,surprise,what the heck?! that's so surprising!
Feeling down about what happened last night.,sadness,feeling down about what happened last night.
This sunshine makes me feel very alive suddenly.,happiness,this sunshine makes me feel very alive suddenly.
I'm surprised how much I love this song already.,surprise,i'm surprised how much i love this song already.
My feelings for you are getting stronger every day.,love,my feelings for you are getting stronger every day.
"Feeling super connected to you lately, don't know why though!",love,"feeling super connected to you lately, don't know why though!"
Just had the worst morning ever already need coffee,sadness,just had the worst morning ever already need coffee
My friends surprised me with a rather nice party.,happiness,my friends surprised me with a rather nice party.
This project is driving me crazy today somehow.,anger,this project is driving me crazy today somehow.
I'm actually really looking forward to tomorrow's meeting now.,surprise,i'm actually really looking forward to tomorrow's meeting now.
The sunny day has me feeling rather uplifted today.,happiness,the sunny day has me feeling rather uplifted today.
My day is really turning out perfectly today somehow.,happiness,my day is really turning out perfectly today somehow.
"That's actually a pretty cool coincidence, huh.",surprise,"that's actually a pretty cool coincidence, huh."
I'm surprised by how much I like my new job.,surprise,i'm surprised by how much i like my new job.
I've never felt this hopeless in my life before.,sadness,i've never felt this hopeless in my life before.
I'm beyond furious about what just happened to me.,anger,i'm beyond furious about what just happened to me.
The dentist appointment is making me really nervous today.,fear,the dentist appointment is making me really nervous today.
My heart feels happy when we're together always.,love,my heart feels happy when we're together always.
You're the only one I think about constantly.,love,you're the only one i think about constantly.
I'm fed up with these constant delays and excuses always.,anger,i'm fed up with these constant delays and excuses always.
Their wedding day was rather a joyful chaos.,happiness,their wedding day was rather a joyful chaos.
My day just got better because of you.,love,my day just got better because of you.
I'm still trying to process what just happened today.,surprise,i'm still trying to process what just happened today.
This darkness outside is freaking me out badly,fear,this darkness outside is freaking me out badly
Feeling a little anxious after last night's conversation.,happiness,feeling a little anxious after last night's conversation.
I feel really connected to the ones I care about.,love,i feel really connected to the ones i care about.
I got a surprise party at work today wow,surprise,i got a surprise party at work today wow
Really glad I decided to take that different route today.,surprise,really glad i decided to take that different route today.
Reuniting with old friends is rather exhilarating tonight.,happiness,reuniting with old friends is rather exhilarating tonight.
Today's commute was absolutely infuriating for me.,anger,today's commute was absolutely infuriating for me.
I don't like driving in this heavy traffic today.,fear,i don't like driving in this heavy traffic today.
I'm getting really tired of this argument already.,anger,i'm getting really tired of this argument already.
I feel an insane amount of love for you,love,i feel an insane amount of love for you
"This noise is driving me crazy, can't focus.",anger,"this noise is driving me crazy, can't focus."
8\. My sibling is being super annoying right now ugh!,anger,8. my sibling is being super annoying right now ugh!
Just saw an old friend in the store randomly.,surprise,just saw an old friend in the store randomly.
My brother is being super annoying right now ugh,anger,my brother is being super annoying right now ugh
Not loving the rain today it's ruining my plans outside,sadness,not loving the rain today it's ruining my plans outside
Being with you makes my day better instantly.,love,being with you makes my day better instantly.
This assignment is really pissing me off right now,anger,this assignment is really pissing me off right now
My day is literally the most amazing thing ever!,happiness,my day is literally the most amazing thing ever!
I'm worried about my future and it's stressing me out.,sadness,i'm worried about my future and it's stressing me out.
I've had enough of your nonsense already.,anger,i've had enough of your nonsense already.
Really struggling to stay positive lately to be honest.,sadness,really struggling to stay positive lately to be honest.
I just heard the best news from an old friend!,surprise,i just heard the best news from an old friend!
My flight has been delayed and I'm getting anxious,fear,my flight has been delayed and i'm getting anxious
That was a total plot twist in my life.,surprise,that was a total plot twist in my life.
How can people be so stupid and inconsiderate?,anger,how can people be so stupid and inconsiderate?
"My boyfriend is being super sweet today, yay!",love,"my boyfriend is being super sweet today, yay!"
"Not having the best day emotionally, to be honest.",sadness,"not having the best day emotionally, to be honest."
My favorite part of the day is talking to you,love,my favorite part of the day is talking to you
Feeling a little brighter today for some reason.,happiness,feeling a little brighter today for some reason.
I felt happiness when she finally said yes.,happiness,i felt happiness when she finally said yes.
Today reminded me why I adore her so much,love,today reminded me why i adore her so much
I feel really angry about what he said to me.,anger,i feel really angry about what he said to me.
Every moment with you is pure magic to me,love,every moment with you is pure magic to me
I'm feeling grateful for our relationship today.,love,i'm feeling grateful for our relationship today.
I'm going through a bit of a slump currently,sadness,i'm going through a bit of a slump currently
This food is so much better than I expected!,surprise,this food is so much better than i expected!
Feeling rather joyful about my new bike.,happiness,feeling rather joyful about my new bike.
I feel super lucky to have found someone like us,love,i feel super lucky to have found someone like us
I'm feeling pretty apprehensive about public speaking.,fear,i'm feeling pretty apprehensive about public speaking.
My week is off to a slow start already,sadness,my week is off to a slow start already
I'm worried that I won't get the job I want.,fear,i'm worried that i won't get the job i want.
This is making me so angry I'm shaking.,anger,this is making me so angry i'm shaking.
I'm still trying to process all of this news.,surprise,i'm still trying to process all of this news.
Everything feels totally amazing on my wedding day today!,happiness,everything feels totally amazing on my wedding day today!
.I'm amazed at how easy this task was tonight.,surprise,.i'm amazed at how easy this task was tonight.
I care about him way more than expected,love,i care about him way more than expected
Thinking about our memories makes me smile a lot!,love,thinking about our memories makes me smile a lot!
My heart is racing just thinking about that presentation later!,fear,my heart is racing just thinking about that presentation later!
Just found out my favorite store is having a sale!,surprise,just found out my favorite store is having a sale!
I feel completely empty and hopeless right now,sadness,i feel completely empty and hopeless right now
"I'm still mad about what happened last night, honestly.",anger,"i'm still mad about what happened last night, honestly."
The party tonight was a lot more fun than anticipated.,surprise,the party tonight was a lot more fun than anticipated.
My sister got engaged and I had no idea.,surprise,my sister got engaged and i had no idea.
Everything about this new job feels extremely right today.,happiness,everything about this new job feels extremely right today.
I'm feeling really overwhelmed and frustrated right now.,sadness,i'm feeling really overwhelmed and frustrated right now.
"No way, this can't be happening right now!",surprise,"no way, this can't be happening right now!"
.I'm still mad about what they did last week.,anger,.i'm still mad about what they did last week.
Feeling down about this situation right now.,sadness,feeling down about this situation right now.
Feeling super grateful for my partner today.,love,feeling super grateful for my partner today.
Everything seems rather bright and cheerful today somehow.,happiness,everything seems rather bright and cheerful today somehow.
Totally thrilled for my best friend's wedding day tomorrow!,happiness,totally thrilled for my best friend's wedding day tomorrow!
Revised listing starting at (5.),anger,revised listing starting at 5.
Today was way better than I thought it'd be.,surprise,today was way better than i thought it'd be.
Today has been a pretty irritating day so far.,anger,today has been a pretty irritating day so far.
Nothing is going right for me at all lately.,sadness,nothing is going right for me at all lately.
My sister's constant questions are getting on my nerves.,anger,my sister's constant questions are getting on my nerves.
Fear of not being good enough haunts me daily.,fear,fear of not being good enough haunts me daily.
I'm seriously shocked by what you just told me!,surprise,i'm seriously shocked by what you just told me!
I just won those concert tickets online weirdly enough,surprise,i just won those concert tickets online weirdly enough
Just landed my dream job and I'm very thrilled!,happiness,just landed my dream job and i'm very thrilled!
Today has been a really tough day for me emotionally.,sadness,today has been a really tough day for me emotionally.
"Ugh, I just spilled coffee all over my shirt again!",anger,"ugh, i just spilled coffee all over my shirt again!"
"I'm actually enjoying this movie, surprisingly enough for me.",surprise,"i'm actually enjoying this movie, surprisingly enough for me."
"Whoa, this coffee is stronger than usual.",surprise,"whoa, this coffee is stronger than usual."
My roommate is being really inconsiderate lately too.,anger,my roommate is being really inconsiderate lately too.
Feeling very proud of our team's amazing project success!,happiness,feeling very proud of our team's amazing project success!
I'm really enjoying our time together lately too.,love,i'm really enjoying our time together lately too.
Their love story was incredibly inspiring to witness yesterday.,happiness,their love story was incredibly inspiring to witness yesterday.
My heart feels completely shattered into pieces.,sadness,my heart feels completely shattered into pieces.
"Today's been a pretty boring day, that's all.",sadness,"today's been a pretty boring day, that's all."
I'm freaking out a bit about my finances this month,fear,i'm freaking out a bit about my finances this month
I don't like the sound of that strange noise outside,fear,i don't like the sound of that strange noise outside
Felt happy when I saw my kids smiling together.,happiness,felt happy when i saw my kids smiling together.
Why does stuff always happen to me on Mondays?,anger,why does stuff always happen to me on mondays?
I'm so done with this project it's a nightmare,anger,i'm so done with this project it's a nightmare
I feel uneasy about driving in this fog,fear,i feel uneasy about driving in this fog
I'm feeling kinda lost without my favorite hobby.,sadness,i'm feeling kinda lost without my favorite hobby.
3 My anxiety is spiking just thinking about it honestly,fear,3 my anxiety is spiking just thinking about it honestly
I'm feeling really grateful for you today.,love,i'm feeling really grateful for you today.
This restaurant is way better than expected honestly.,surprise,this restaurant is way better than expected honestly.
"I'm feeling really down today, no idea why though",sadness,"i'm feeling really down today, no idea why though"
"I'm feeling really connected to him right now, it's nice.",love,"i'm feeling really connected to him right now, it's nice."
It's weird how much I love this new song already.,surprise,it's weird how much i love this new song already.
This is way more fun than I thought it'd be.,surprise,this is way more fun than i thought it'd be.
This surprise party totally made my year!,happiness,this surprise party totally made my year!
I'm done with people taking advantage of me,anger,i'm done with people taking advantage of me
I feel so lucky to have met you today.,love,i feel so lucky to have met you today.
I still can't believe what just happened - it's surreal,surprise,i still can't believe what just happened it's surreal
Really loving the spark with my new coworker today.,happiness,really loving the spark with my new coworker today.
"She finally said yes, I felt extremely happy instantly.",happiness,"she finally said yes, i felt extremely happy instantly."
My anxiety is through the roof right now though,sadness,my anxiety is through the roof right now though
I just realized I forgot my phone at home somehow.,surprise,i just realized i forgot my phone at home somehow.
I love seeing my friends happy and thriving lately.,love,i love seeing my friends happy and thriving lately.
Things are going somewhat better than I expected today.,happiness,things are going somewhat better than i expected today.
I've fallen deeply in love with his kind heart.,love,i've fallen deeply in love with his kind heart.
Smiling at the memory of that lovely summer evening.,happiness,smiling at the memory of that lovely summer evening.
My mood has been off all day,sadness,my mood has been off all day
"I'm missing my favorite TV show already, it ended",sadness,"i'm missing my favorite tv show already, it ended"
I feel slightly irritated with this situation.,anger,i feel slightly irritated with this situation.
I'm all about you and nothing else matters.,love,i'm all about you and nothing else matters.
I'm falling for you more and more each day.,love,i'm falling for you more and more each day.
Seeing her smile is rather infectious today somehow again.,happiness,seeing her smile is rather infectious today somehow again.
Missing home more than usual lately.,sadness,missing home more than usual lately.
I'm actually really enjoying this movie right now,surprise,i'm actually really enjoying this movie right now
Feeling completely weightless with this incredible job offer today.,happiness,feeling completely weightless with this incredible job offer today.
I'm really fond of our little traditions together.,love,i'm really fond of our little traditions together.
My world is crashing down around me now.,sadness,my world is crashing down around me now.
My world just crashed and burned somehow.,sadness,my world just crashed and burned somehow.
Feeling very grateful for this amazing life I'm living.,happiness,feeling very grateful for this amazing life i'm living.
My favorite store has a huge sale today somehow.,surprise,my favorite store has a huge sale today somehow.
This promotion makes me feel rather ecstatic suddenly today.,happiness,this promotion makes me feel rather ecstatic suddenly today.
"I'm actually enjoying this movie, go figure!",surprise,"i'm actually enjoying this movie, go figure!"
I feel a little uneasy driving in this fog today,fear,i feel a little uneasy driving in this fog today
My day was ruined by that idiot boss.,anger,my day was ruined by that idiot boss.
I'm so done with all these lies and drama.,anger,i'm so done with all these lies and drama.
Feeling anxious because of this big presentation tomorrow morning.,happiness,feeling anxious because of this big presentation tomorrow morning.
I feel so scared and alone right now,fear,i feel so scared and alone right now
I don't like the way things are looking right now.,fear,i don't like the way things are looking right now.
My dog's been acting weird and it scares me,fear,my dog's been acting weird and it scares me
This moment is definitely making me very happy today.,happiness,this moment is definitely making me very happy today.
Our relationship is my favorite thing right now.,love,our relationship is my favorite thing right now.
I'm totally terrified of being alone at night now,fear,i'm totally terrified of being alone at night now
I just want to disappear forever it hurts so much.,sadness,i just want to disappear forever it hurts so much.
Your kindness genuinely warms up even the coldest of days.,love,your kindness genuinely warms up even the coldest of days.
Today felt really long and draining for some reason.,sadness,today felt really long and draining for some reason.
Feeling pretty down about this whole situation honestly.,sadness,feeling pretty down about this whole situation honestly.
I'm not loving my job right now honestly.,sadness,i'm not loving my job right now honestly.
I just can't believe what happened today.,surprise,i just can't believe what happened today.
"I never saw that coming, what a twist!",surprise,"i never saw that coming, what a twist!"
I'm really going to miss my family today.,sadness,i'm really going to miss my family today.
I had a disappointing conversation earlier today,sadness,i had a disappointing conversation earlier today
"My heart is racing, something feels off tonight.",fear,"my heart is racing, something feels off tonight."
"Oh my god, this is insane right now!",surprise,"oh my god, this is insane right now!"
I feel pretty down about this situation.,sadness,i feel pretty down about this situation.
Just had a tough conversation with someone close,sadness,just had a tough conversation with someone close
This dark room is kinda freaking me out right now.,fear,this dark room is kinda freaking me out right now.
I feel lonely when you're not around sometimes,sadness,i feel lonely when you're not around sometimes
My morning just got a lot more interesting,surprise,my morning just got a lot more interesting
I feel like I'm exactly where I'm meant to be,love,i feel like i'm exactly where i'm meant to be
"Everything is falling into place, feeling very lucky today.",happiness,"everything is falling into place, feeling very lucky today."
I don't know how to deal with this pain,sadness,i don't know how to deal with this pain
"My biggest fear just came true, what do I do?",fear,"my biggest fear just came true, what do i do?"
I'm seriously terrified of what might happen next,fear,i'm seriously terrified of what might happen next
My day is better when we talk honestly.,love,my day is better when we talk honestly.
I feel pretty angry about what you said earlier.,anger,i feel pretty angry about what you said earlier.
I hate how he always does that to me.,anger,i hate how he always does that to me.
My favorite memory is still that trip we took together,love,my favorite memory is still that trip we took together
Why does morning sunlight make everything feel rather magical?,happiness,why does morning sunlight make everything feel rather magical?
Seeing kids play outside always lifts my mood slightly.,happiness,seeing kids play outside always lifts my mood slightly.
"This is absolutely unbelievable, I'm in shock still.",surprise,"this is absolutely unbelievable, i'm in shock still."
I'm so happy we're taking this step together.,love,i'm so happy we're taking this step together.
I'm getting a bit worried about this storm tonight,fear,i'm getting a bit worried about this storm tonight
Now that just made me seriously angry suddenly,anger,now that just made me seriously angry suddenly
I'm a little irritated with this slow internet,anger,i'm a little irritated with this slow internet
. Today feels better knowing you're thinking of me too.,love,. today feels better knowing you're thinking of me too.
I'm really impressed by how well he's doing now.,surprise,i'm really impressed by how well he's doing now.
I didn't expect that to happen today haha,surprise,i didn't expect that to happen today haha
My heart skips a beat when they smile at me.,love,my heart skips a beat when they smile at me.
I'm freaking out about this deadline at work.,fear,i'm freaking out about this deadline at work.
Absolutely thrilled to have met my soulmate tonight somehow.,happiness,absolutely thrilled to have met my soulmate tonight somehow.
This assignment is making me super angry honestly.,anger,this assignment is making me super angry honestly.
Witnessing my best friend's wedding was utterly euphoric today.,happiness,witnessing my best friend's wedding was utterly euphoric today.
so fed up with everything at this point,sadness,so fed up with everything at this point
My love for you is growing every day slowly.,love,my love for you is growing every day slowly.
Why did laughter feel rather contagious today?,happiness,why did laughter feel rather contagious today?
I feel really sad about leaving my friends behind.,sadness,i feel really sad about leaving my friends behind.
I didn't expect to see you here today wow.,surprise,i didn't expect to see you here today wow.
Being with you makes everything better instantly.,love,being with you makes everything better instantly.
Things are going rather well at the office today.,happiness,things are going rather well at the office today.
"I didn't think I'd like this song, but it's okay.",surprise,"i didn't think i'd like this song, but it's okay."
I'm really starting to fall for this person hard.,love,i'm really starting to fall for this person hard.
"This coffee is surprisingly good, wow!",surprise,"this coffee is surprisingly good, wow!"
This sunny day makes me feel rather cheerful suddenly.,happiness,this sunny day makes me feel rather cheerful suddenly.
My heart is completely overflowing with joy right now.,happiness,my heart is completely overflowing with joy right now.
"I just got into another argument with my sister, ugh",anger,"i just got into another argument with my sister, ugh"
Everything feels rather bright and sunny today somehow.,happiness,everything feels rather bright and sunny today somehow.
"Clearly, I've never felt this connected to someone before.",happiness,"clearly, i've never felt this connected to someone before."
My day hasn't gone as planned at all today sadly,sadness,my day hasn't gone as planned at all today sadly
My heart skips a beat when I see your smile.,love,my heart skips a beat when i see your smile.
I've been thinking about her all morning.,love,i've been thinking about her all morning.
Feeling a bit left out from the group chat today.,sadness,feeling a bit left out from the group chat today.
My mind feels rather calm and incredibly clear today.,happiness,my mind feels rather calm and incredibly clear today.
I appreciate everything my partner does for me.,love,i appreciate everything my partner does for me.
My sister is actually coming over tonight unexpectedly.,surprise,my sister is actually coming over tonight unexpectedly.
Today was just a bad day for me somehow.,sadness,today was just a bad day for me somehow.
This customer service rep is being super unhelpful.,anger,this customer service rep is being super unhelpful.
its Probably then Ly Sprint > ping nap washed,anger,its probably then ly sprint ping nap washed
I'm so fed up with this stupid situation right now.,anger,i'm so fed up with this stupid situation right now.
I don't want to get stuck in this traffic jam,fear,i don't want to get stuck in this traffic jam
"My mood is just really off today, ugh.",sadness,"my mood is just really off today, ugh."
I'm feeling really lost and alone today.,sadness,i'm feeling really lost and alone today.
My neighbor's loud music is getting on my nerves.,anger,my neighbor's loud music is getting on my nerves.
My cat just did something really weird right now.,surprise,my cat just did something really weird right now.
I'm actually really surprised by this outcome today.,surprise,i'm actually really surprised by this outcome today.
I feel kinda scared of the dark tonight.,fear,i feel kinda scared of the dark tonight.
I'm feeling really down about my exam results today.,sadness,i'm feeling really down about my exam results today.
I feel so grateful to have him.,love,i feel so grateful to have him.
Today has been a never-ending nightmare for me,sadness,today has been a neverending nightmare for me
I'm so annoyed with this stupid computer glitch.,anger,i'm so annoyed with this stupid computer glitch.
"Everything is going really well today, feeling so grateful.",happiness,"everything is going really well today, feeling so grateful."
That party was quite the unforgettable night with friends.,happiness,that party was quite the unforgettable night with friends.
I'm just feeling really lost and alone right now.,sadness,i'm just feeling really lost and alone right now.
The party turned out fairly enjoyable tonight somehow.,happiness,the party turned out fairly enjoyable tonight somehow.
Just met someone who's absolutely perfect for me somehow.,happiness,just met someone who's absolutely perfect for me somehow.
I really enjoy spending time with her,love,i really enjoy spending time with her
I'm a bit worried about my upcoming exam.,fear,i'm a bit worried about my upcoming exam.
Feeling slightly sad about what happened last night.,sadness,feeling slightly sad about what happened last night.
I'm feeling pretty down about the news lately.,sadness,i'm feeling pretty down about the news lately.
This darkness is kinda freaking me out tonight.,fear,this darkness is kinda freaking me out tonight.
l've been thinking about how much fun we had,love,l've been thinking about how much fun we had
I'm seriously freaking out right now about this.,surprise,i'm seriously freaking out right now about this.
This relationship feels really right for me,love,this relationship feels really right for me
I feel like the luckiest person alive when we kiss,love,i feel like the luckiest person alive when we kiss
I'm really surprised at how nice my new coworker is.,surprise,i'm really surprised at how nice my new coworker is.
My day gets better the moment I see your face,love,my day gets better the moment i see your face
This is ridiculous and I'm fed up already,anger,this is ridiculous and i'm fed up already
Feeling extremely hurt after her harsh words yesterday.,happiness,feeling extremely hurt after her harsh words yesterday.
I'm worried that I won't make it on time tonight.,fear,i'm worried that i won't make it on time tonight.
I'm getting a bit nervous about my exam tomorrow.,fear,i'm getting a bit nervous about my exam tomorrow.
Seeing her smile lit up the entire room instantly.,happiness,seeing her smile lit up the entire room instantly.
Feeling rather carefree and uplifted after that great vacation.,happiness,feeling rather carefree and uplifted after that great vacation.
My boss is being super unreasonable today.,anger,my boss is being super unreasonable today.
Our relationship feels really special to me right now.,love,our relationship feels really special to me right now.
I'm so comfortable around my partner right now.,love,i'm so comfortable around my partner right now.
That movie twist was totally not what I expected.,surprise,that movie twist was totally not what i expected.
I had a pretty meh day at work yesterday.,sadness,i had a pretty meh day at work yesterday.
I feel kinda uneasy about this whole situation.,fear,i feel kinda uneasy about this whole situation.
My morning coffee tastes rather delightful today somehow.,happiness,my morning coffee tastes rather delightful today somehow.
Every moment with them is pure joy for me.,love,every moment with them is pure joy for me.
I'm seriously annoyed at how slow this line is moving.,anger,i'm seriously annoyed at how slow this line is moving.
My car just passed inspection without any issues somehow!,surprise,my car just passed inspection without any issues somehow!
.Not really looking forward to this long drive,sadness,.not really looking forward to this long drive
My world revolves around our love right now,love,my world revolves around our love right now
Why does sunlight make everything rather delightful today?,happiness,why does sunlight make everything rather delightful today?
I feel somewhat tired and unmotivated lately,sadness,i feel somewhat tired and unmotivated lately
I'm getting a bit worried about the deadline looming.,fear,i'm getting a bit worried about the deadline looming.
"Whoa, this news about my cousin really surprises me today!",surprise,"whoa, this news about my cousin really surprises me today!"
Everything about this new job feels really amazing today.,happiness,everything about this new job feels really amazing today.
I'm totally smitten with this new guy I met,love,i'm totally smitten with this new guy i met
Today is turning out to be quite amazing actually.,happiness,today is turning out to be quite amazing actually.
-Today has been really scary for no reason,fear,today has been really scary for no reason
I'm a bit frustrated with this computer glitch today.,anger,i'm a bit frustrated with this computer glitch today.
My day has been pretty disappointing so far honestly,sadness,my day has been pretty disappointing so far honestly
Being with you makes my day so much better.,love,being with you makes my day so much better.
Happiness flooded in when they said yes to me.,happiness,happiness flooded in when they said yes to me.
Feeling rather excited for the weekend getaway.,happiness,feeling rather excited for the weekend getaway.
I'm so angry at my boss right now.,anger,i'm so angry at my boss right now.
Being with you makes my day perfect somehow.,love,being with you makes my day perfect somehow.
Every moment we spend together feels special somehow.,love,every moment we spend together feels special somehow.
I'm really scared about what might happen next,fear,i'm really scared about what might happen next
I'm so irritated with the way things are going.,anger,i'm so irritated with the way things are going.
"Today was really frustrating, to be honest.",anger,"today was really frustrating, to be honest."
"I'm really crushing on someone right now, no joke!",love,"i'm really crushing on someone right now, no joke!"
I'm freaking out a bit about the upcoming deadline.,fear,i'm freaking out a bit about the upcoming deadline.
"This homework is so unfair, I'm seething right now.",anger,"this homework is so unfair, i'm seething right now."
I felt happiness when she said yes yesterday.,happiness,i felt happiness when she said yes yesterday.
My anxiety is spiking with all these deadlines looming.,fear,my anxiety is spiking with all these deadlines looming.
"My day has been pretty meh so far, I guess",sadness,"my day has been pretty meh so far, i guess"
"Ugh, this traffic is really pissing me off now",anger,"ugh, this traffic is really pissing me off now"
I'm literally on the verge of tears right now,sadness,i'm literally on the verge of tears right now
I'm literally shaking with fear right now omg.,fear,i'm literally shaking with fear right now omg.
Things just got a bit more exciting for me now.,surprise,things just got a bit more exciting for me now.
The thunderstorm outside is kind of freaking me out.,fear,the thunderstorm outside is kind of freaking me out.
This book is turning out to be really interesting!,surprise,this book is turning out to be really interesting!
I'm worried that something bad will happen on our trip.,fear,i'm worried that something bad will happen on our trip.
The thought of public speaking still makes me nervous.,fear,the thought of public speaking still makes me nervous.
Everything feels really alive and vibrant right now somehow.,happiness,everything feels really alive and vibrant right now somehow.
I miss you more than usual today somehow,sadness,i miss you more than usual today somehow
I'm terrified of what's going to happen next.,fear,i'm terrified of what's going to happen next.
My mind is racing with worst-case scenarios always.,fear,my mind is racing with worstcase scenarios always.
I'm actually loving this new restaurant in town now.,surprise,i'm actually loving this new restaurant in town now.
My friend's dog is kind of intimidating me right now.,fear,my friend's dog is kind of intimidating me right now.
This horror movie is actually giving me nightmares.,fear,this horror movie is actually giving me nightmares.
My favorite show just ended and I'm sad,sadness,my favorite show just ended and i'm sad
That rude comment really got under my skin today.,anger,that rude comment really got under my skin today.
Feeling rather anxious about this morning's deadline.,happiness,feeling rather anxious about this morning's deadline.
"I feel kinda scared of heights, to be honest.",fear,"i feel kinda scared of heights, to be honest."
I've been having some pretty dark thoughts lately too.,fear,i've been having some pretty dark thoughts lately too.
My love for you grows stronger every day somehow.,love,my love for you grows stronger every day somehow.
I'm a bit frustrated with my phone today,anger,i'm a bit frustrated with my phone today
I'm getting a little worried about the storm outside.,fear,i'm getting a little worried about the storm outside.
I love you more than anything in the world.,love,i love you more than anything in the world.
I'm feeling really grateful for this relationship right now.,love,i'm feeling really grateful for this relationship right now.
Felt incredibly happy when I saw my child smile.,happiness,felt incredibly happy when i saw my child smile.
This noise is driving me crazy at work.,anger,this noise is driving me crazy at work.
I'm literally paralyzed with fear right now alone.,fear,i'm literally paralyzed with fear right now alone.
This homework assignment is making me really angry suddenly.,anger,this homework assignment is making me really angry suddenly.
I'm so done with everything and everyone today.,sadness,i'm so done with everything and everyone today.
I'm getting nervous about public speaking tomorrow.,fear,i'm getting nervous about public speaking tomorrow.
My heart is racing and I feel super anxious.,fear,my heart is racing and i feel super anxious.
I'm getting a bit uneasy about being home alone tonight.,fear,i'm getting a bit uneasy about being home alone tonight.
Life is literally better than I ever imagined today.,happiness,life is literally better than i ever imagined today.
I feel at home when we're together somehow.,love,i feel at home when we're together somehow.
This rainy day is matching my mood perfectly.,sadness,this rainy day is matching my mood perfectly.
"Feeling kinda uneasy about this new situation, idk why",fear,"feeling kinda uneasy about this new situation, idk why"
This assignment is pissing me off so much already.,anger,this assignment is pissing me off so much already.
My fear of heights is kicking in on this ride.,fear,my fear of heights is kicking in on this ride.
I'm fed up with these constant errors on my phone.,anger,i'm fed up with these constant errors on my phone.
Seeing her smile at the wedding was quite priceless.,happiness,seeing her smile at the wedding was quite priceless.
Talking to you makes me miss home more.,sadness,talking to you makes me miss home more.
Feeling utterly crushed after losing my best friend suddenly,happiness,feeling utterly crushed after losing my best friend suddenly
I feel really down about what happened yesterday.,sadness,i feel really down about what happened yesterday.
This week has been so overwhelming and stressful,sadness,this week has been so overwhelming and stressful
I feel uneasy about walking alone at night here.,fear,i feel uneasy about walking alone at night here.
I'm so annoyed with this traffic jam already.,anger,i'm so annoyed with this traffic jam already.
This storm is making me really anxious right now,fear,this storm is making me really anxious right now
This situation is seriously scaring the crap out of me.,fear,this situation is seriously scaring the crap out of me.
